lambda,time,mu1,mu2,cov11,cov12,cov22
-0.9,7.4974974974974975,-1.294738271312033,1.6797798997538158,0.00516355010062393,-0.0024647334099988714,0.026763701321007548
-0.9,7.5075075075075075,-1.2949518253275514,1.6799241914545389,0.005193207956966103,-0.0024102793865117553,0.026794022318234727
-0.9,7.5175175175175175,-1.2952335508612915,1.6796845287902593,0.005112092721282474,-0.0023920584088472172,0.02675727995215613
-0.9,7.5275275275275275,-1.2951168379341587,1.6799299507065912,0.00504948323203053,-0.0023548398601370897,0.02674163888018372
-0.9,7.5375375375375375,-1.2954418301286392,1.6796759821011582,0.005116133886806204,-0.0024149699470685042,0.02659222448107771
-0.9,7.5475475475475475,-1.2956476509891837,1.6800092071107093,0.005072600292788016,-0.0024692712327416782,0.026520897466772646
-0.9,7.5575575575575575,-1.2956742296626094,1.6798711312604864,0.005077887412211372,-0.0024904079500568583,0.026574851067531845
-0.9,7.5675675675675675,-1.2959951469438498,1.680433059170597,0.005102021442937714,-0.002564734336603817,0.026580448752993088
-0.9,7.5775775775775776,-1.2964260433136774,1.680599478506018,0.00509918995633167,-0.002592656417402466,0.026465463272417167
-0.9,7.587587587587588,-1.2965731904805793,1.6806610897714493,0.005100525546769889,-0.0026421830795795936,0.026695140955110098
-0.9,7.597597597597598,-1.2966298071035323,1.680727651873968,0.005078485446312658,-0.00262873518814439,0.026832205352430652
-0.9,7.607607607607608,-1.2968741274926003,1.6809784330413113,0.00505799638949812,-0.0027134361906779353,0.02696416834926358
-0.9,7.617617617617618,-1.2968189740297398,1.6811464746247806,0.005112953813100457,-0.0027398082211451654,0.0268580630406832
-0.9,7.627627627627628,-1.2964250141938938,1.6808470531969593,0.005044106810812867,-0.0027314817122554625,0.026784140663466953
-0.9,7.637637637637638,-1.2964306169772386,1.6808348362078043,0.005054382840111066,-0.0027076889682386396,0.026860871134058953
-0.9,7.647647647647648,-1.2964646763322372,1.6806663340259649,0.005007786920918312,-0.0026650996196239305,0.02683294806922136
-0.9,7.657657657657658,-1.2964820880213157,1.6808408238103758,0.004984566098676403,-0.0025942913237766148,0.026886182789517737
-0.9,7.667667667667668,-1.2963894131684384,1.6810171800090619,0.005010783702512097,-0.0026120354857780722,0.02701022787607663
-0.9,7.677677677677678,-1.2962976889549604,1.6811005514969235,0.004960879837815927,-0.0026200180285892967,0.027332675768896152
-0.9,7.687687687687688,-1.2969439539140415,1.6811693427954735,0.0049206024735058765,-0.0026059767420532585,0.027408394250802267
-0.9,7.697697697697698,-1.2970735040572752,1.6815548116740604,0.004903132687405948,-0.0025935132034214164,0.02760187976365954
-0.9,7.707707707707708,-1.2973508261596747,1.6817063937853642,0.0049266210664187324,-0.002625536428909296,0.027560611451097845
-0.9,7.717717717717718,-1.2976160453371388,1.6818295238244125,0.004897603973512633,-0.002710139152313868,0.027567638810649633
-0.9,7.727727727727728,-1.297372923951428,1.6822722514721171,0.004916248231182965,-0.0027128938609122734,0.027666157991917954
-0.9,7.737737737737738,-1.2978469434285962,1.6823563953055263,0.004937334244424361,-0.0026865217068629023,0.02778331225539725
-0.9,7.747747747747748,-1.2974045085953116,1.6823305130566897,0.004964856181539349,-0.002621884673943817,0.027686911013599824
-0.9,7.757757757757758,-1.2973526726719713,1.6820234913693952,0.004927317606490543,-0.002570482173738713,0.02774466277736861
-0.9,7.767767767767768,-1.29765294242375,1.6820287535667147,0.004958238313176905,-0.0025621412368832994,0.02784390562337258
-0.9,7.777777777777778,-1.2971598921271748,1.6818624884512734,0.004964074289355459,-0.002637139832659493,0.02780769494925948
-0.9,7.787787787787788,-1.296872440916454,1.682300512878733,0.005007370970644792,-0.002642360092905818,0.027724184899001254
-0.9,7.797797797797798,-1.2967517466297223,1.6816078947637183,0.005043814620585894,-0.0026948185140059206,0.027718494049076486
-0.9,7.807807807807808,-1.2967571853678193,1.682433485801579,0.005084591741596616,-0.0026198715650674596,0.027777953812805272
-0.9,7.817817817817818,-1.2973442786748384,1.6822604218557804,0.005065498985897941,-0.0025691006844534106,0.027681392290920665
-0.9,7.827827827827828,-1.297526543521779,1.682543603159398,0.005065255188088682,-0.002548500666398888,0.02778734297155656
-0.9,7.837837837837838,-1.2973557497749517,1.682550727274132,0.005079846540863578,-0.0026428343571188308,0.027780050477783435
-0.9,7.847847847847848,-1.2972876133124096,1.6830212631665185,0.005129644610645051,-0.002695801196042505,0.027445491913158895
-0.9,7.857857857857858,-1.296855023381518,1.6830734747237612,0.005080233003414387,-0.0027210100228675076,0.027583906203230174
-0.9,7.867867867867868,-1.2964170202526089,1.6835287587062637,0.005104467475079908,-0.002668965076172348,0.02761149108200206
-0.9,7.877877877877878,-1.296330913658461,1.6837024727367693,0.005046199186174683,-0.002696010016298754,0.02758480623100002
-0.9,7.887887887887888,-1.2963204201143084,1.6836160623393346,0.005003759515654976,-0.002718030195639077,0.02760952247412109
-0.9,7.897897897897898,-1.2963310436104314,1.6835236856297222,0.00490773451834875,-0.0027165382653140373,0.027543702081549742
-0.9,7.907907907907908,-1.2962719341560969,1.6835734838696914,0.004835332179982866,-0.002686433262249521,0.02759369794553309
-0.9,7.917917917917918,-1.2957117431926912,1.6838732394019287,0.004845923872393309,-0.0026442265219657392,0.027619734232442003
-0.9,7.927927927927928,-1.2956923916336862,1.6837205095300127,0.004867537128538442,-0.0026037380324483786,0.02753793453579339
-0.9,7.937937937937938,-1.295931617072617,1.683468838067802,0.004847280594506422,-0.002543931209974304,0.027502654395352516
-0.9,7.947947947947948,-1.2956082772621094,1.6832258096370347,0.004877039289673904,-0.0026120710044877002,0.027603459591186968
-0.9,7.957957957957958,-1.2961635550141397,1.6835368606462686,0.004943070029537153,-0.002573808176722143,0.027531487997967685
-0.9,7.967967967967968,-1.296050166022877,1.6835970374345042,0.004945099418412607,-0.0025658074041304737,0.027451323393458103
-0.9,7.977977977977978,-1.2959498162576855,1.6837412474347602,0.004978247271740668,-0.0025591202106429512,0.02743652137035028
-0.9,7.987987987987988,-1.2961603353929847,1.6834366656289625,0.004979561979758209,-0.0025997905967694197,0.027410814799221382
-0.9,7.997997997997998,-1.2962405087885136,1.6832485329177573,0.004936722086833453,-0.002640663649290963,0.027397025587670442
-0.9,8.008008008008009,-1.296092639031842,1.6831057609168953,0.004957011037311107,-0.0026292628811578817,0.0273591034410147
-0.9,8.018018018018019,-1.2961758254939055,1.6834655263175242,0.004984330343843811,-0.0025629655345382656,0.02742589873501393
-0.9,8.028028028028029,-1.296442298896789,1.6833765647786936,0.0050322240748950555,-0.002584062331450769,0.027371766157528805
-0.9,8.038038038038039,-1.2965205684524794,1.6835931441134013,0.0049548406511000075,-0.00260645976536958,0.0273889614467174
-0.9,8.048048048048049,-1.2961342154971505,1.683962932277273,0.004926001809336582,-0.0026227138302216454,0.027457554626445602
-0.9,8.058058058058059,-1.296496090394443,1.6839744571237247,0.004958858217254471,-0.0025893703220662744,0.027382406745117254
-0.9,8.068068068068069,-1.2966529287174913,1.6840616380387265,0.005040911857515386,-0.0025986981516061707,0.027419424446278103
-0.9,8.078078078078079,-1.2968658669547697,1.684477337826888,0.005063858147241049,-0.0025885517768879903,0.02737861219764272
-0.9,8.088088088088089,-1.2967894065016699,1.6845918778714568,0.005019613233319602,-0.0026513341643204587,0.027299170602174187
-0.9,8.098098098098099,-1.2962831585306254,1.6840896124994258,0.005032276643391903,-0.0026429276429294863,0.02738431733300512
-0.9,8.108108108108109,-1.2964557992514059,1.6836825325436497,0.005059560162692981,-0.002670585278765645,0.02731468067919101
-0.9,8.118118118118119,-1.2962617881551657,1.683306199494135,0.005075139531071511,-0.0026643423209109346,0.027339670740754628
-0.9,8.128128128128129,-1.2960376224150367,1.6833470302875084,0.0050977087720762105,-0.0027541146321434624,0.02726827462191075
-0.9,8.138138138138139,-1.2956862744529576,1.6832336903723997,0.005100638282112496,-0.0027856380408475875,0.02730115792888089
-0.9,8.148148148148149,-1.2953082241631526,1.6836971956617144,0.005119618755465231,-0.0028098645057582808,0.02728274316106151
-0.9,8.158158158158159,-1.2957125841774508,1.6835172892021995,0.005192050713587514,-0.002799477671532442,0.027305642843154933
-0.9,8.168168168168169,-1.2963510220882593,1.6835154583507437,0.005242201221472592,-0.002847000182967173,0.027384183578028513
-0.9,8.178178178178179,-1.296418497114026,1.6838139583996712,0.005181475934507788,-0.0028289201715266934,0.027389664341938277
-0.9,8.188188188188189,-1.2965392512621825,1.6835204534879762,0.005203859163863468,-0.0028501162596304623,0.02738206659233761
-0.9,8.198198198198199,-1.2966146722009912,1.6833711647665994,0.005273609346711538,-0.0028688828978070562,0.027411562537678753
-0.9,8.208208208208209,-1.296232330924378,1.6838888961452267,0.0052446690133225145,-0.0028862552579627283,0.027517076518880215
-0.9,8.218218218218219,-1.2959900856256337,1.6839676121707399,0.005277353383970856,-0.002908307425827672,0.027417847169821014
-0.9,8.228228228228229,-1.2957944104632562,1.6838780573387886,0.00526911808747758,-0.0029451996223594404,0.027494049905517633
-0.9,8.238238238238239,-1.2955543573317867,1.6843503145018182,0.005219140134305293,-0.002978555003227978,0.027476732990500467
-0.9,8.248248248248249,-1.2953861320010316,1.6838800427778737,0.005207396987578544,-0.003001767574033552,0.02764148901624673
-0.9,8.258258258258259,-1.2957141724298413,1.683675869904679,0.005213632157675545,-0.003056495978445014,0.02762153612377868
-0.9,8.268268268268269,-1.2955288411509776,1.6839956966563776,0.005242290471788703,-0.0031424298182745882,0.027774549850477916
-0.9,8.278278278278279,-1.295459859593428,1.6838715436939506,0.005257983163640537,-0.003060878713439138,0.027848994784535716
-0.9,8.288288288288289,-1.2949021865996544,1.6840203009588681,0.005273626792274357,-0.0029295878588560813,0.027932144082582797
-0.9,8.298298298298299,-1.2947762706617194,1.6841160222684954,0.005277141213569745,-0.0029624594174438574,0.028000474074240996
-0.9,8.308308308308309,-1.2948243731724274,1.6842632231893788,0.0052342646517890175,-0.002969646653991445,0.027963708444709558
-0.9,8.318318318318319,-1.294807400317052,1.6841298365362334,0.005264864473152061,-0.003087816824277795,0.028004997951979194
-0.9,8.328328328328329,-1.2945544486072456,1.6846102444111242,0.005283827587742614,-0.0029840765141223957,0.02801713648724987
-0.9,8.338338338338339,-1.2948861197082933,1.6843639394946694,0.005244359317062193,-0.0029796620980259707,0.02803102631700213
-0.9,8.348348348348349,-1.294390931686436,1.6845403613029215,0.005206680157039141,-0.0029610129181049964,0.028068890618367547
-0.9,8.358358358358359,-1.2941852466463148,1.6842463694053638,0.005207235723935707,-0.0029955533349799945,0.028016995192002278
-0.9,8.368368368368369,-1.2944544453066813,1.6841816258607334,0.005221607833580094,-0.003011032410025593,0.02803685298012899
-0.9,8.378378378378379,-1.2945316102977695,1.6836988708520697,0.005191395578436001,-0.0030657132168699364,0.028058652358827266
-0.9,8.388388388388389,-1.2945407129227529,1.6837903634941223,0.005177866453097617,-0.003061059485532196,0.028211502446545893
-0.9,8.398398398398399,-1.2948214869619015,1.6843229585697579,0.005166697116475761,-0.003023704630785075,0.02819191393038139
-0.9,8.408408408408409,-1.2946787556064727,1.684506833720027,0.005174988864805406,-0.0029443336379541157,0.028094102376333908
